FundClassId,Symbol,DisplayName,CategoryName,InceptionDate,PriceDate,MSPrice,csrsPrice,ourkuPrice,PerformanceId
0P00017YK0,2483,富国泰利定期开放债券,普通债券型基金（封闭式）,2016/5/11,2018/6/19,,,1.059,0P00017YK0
0P00017Z46,2506,招商招盈18个月定期开放债券,纯债基金（封闭式）,2016/6/1,2018/6/19,,,,0P00017Z46
0P00017Z49,2755,博时裕盛纯债债券,纯债基金,2016/5/20,2018/6/19,,1.001,1.001,0P00017Z49
0P00017ZHE,2715,新华健康生活主题灵活配置混合,灵活配置型基金,2016/6/16,2018/6/19,,,0.975,0P00017ZHE
0P00017ZHF,2775,博时景兴纯债债券,纯债基金,2016/5/20,2018/6/19,,1.0451,1.0451,0P00017ZHF
0P00017ZXB,2782,富国祥利定期开放债券,激进债券型基金（封闭式）,2016/5/25,2018/6/19,,,1.021,0P00017ZXB
0P000180A9,2426,华安全球美元票息债券(QDII)人民币A,环球债券,2016/6/3,2018/6/19,,,,0P000180A9
0P000180AE,2427,华安全球美元票息债券(QDII)美元现汇A,环球债券,2016/6/3,2018/6/19,,,,0P000180AE
0P000180AF,2429,华安全球美元票息债券(QDII)人民币C,环球债券,2016/6/3,2018/6/19,,,,0P000180AF
0P000180AG,501018,南方原油(QDII-FOF-LOF),商品,2016/6/15,2018/6/19,,,,0P000180AG
0P000180AN,2725,中欧强瑞多策略定期开放债券,普通债券型基金（封闭式）,2016/5/27,2018/6/19,,,,0P000180AN
0P000180OX,2781,博时聚瑞纯债债券,纯债基金,2016/5/26,2018/6/19,,1.0319,1.0319,0P000180OX
0P000182JW,2765,新华双利债券A,激进债券型基金,2016/7/13,2018/6/19,,,1.047,0P000182JW
0P000182JX,2766,新华双利债券C,激进债券型基金,2016/7/13,2018/6/19,,,1.04,0P000182JX
0P000184RI,2813,博时保泰保本混合A,保本基金,2016/6/24,2018/6/19,,1.03,1.03,0P000184RI
0P000184RJ,2814,博时保泰保本混合C,保本基金,2016/6/24,2018/6/19,,1.021,1.021,0P000184RJ
0P0001850U,2866,新华丰盈回报债券,激进债券型基金,2016/6/16,2018/6/19,,,1.084,0P0001850U
0P0001856D,2569,博时裕弘纯债债券,纯债基金,2016/6/17,2018/6/19,,1.032,1.032,0P0001856D
0P0001856E,2870,兴业增益五年定期开放债券,普通债券型基金（封闭式）,2016/6/17,2018/6/19,,,,0P0001856E
0P000185M8,2811,博时裕顺纯债债券,纯债基金,2016/6/23,2018/6/19,,1.039,1.039,0P000185M8
0P000185MI,2904,博时安仁一年定期开放债券A,纯债基金（封闭式）,2016/6/24,2018/6/19,,,,0P000185MI
0P000185MJ,2905,博时安仁一年定期开放债券C,纯债基金（封闭式）,2016/6/24,2018/6/19,,,,0P000185MJ
0P000185MK,2826,中银永利半年定期开放债券,普通债券型基金（封闭式）,2016/6/21,2018/6/19,,,,0P000185MK
0P000186I0,169104,东方红睿满沪港深灵活配置混合,沪港深混合型基金（封闭式）,2016/6/28,2018/6/19,,1.354,1.354,0P000186I0
0P000187J2,519943,长信富泰纯债一年定期开放债券A,纯债基金（封闭式）,2016/7/21,2018/6/19,,,,0P000187J2
0P000187J3,519942,长信富泰纯债一年定期开放债券C,纯债基金（封闭式）,2016/7/21,2018/6/19,,,,0P000187J3
0P000187Q2,1274,民生加银新动力灵活配置混合D,灵活配置型基金,2015/5/18,2018/6/19,,0,,0P000187Q2
0P00018839,160520,博时弘盈定期开放混合A,保守混合型基金（封闭式）,2016/8/1,2018/6/19,,0.9698,0.9698,0P00018839
0P0001883A,160521,博时弘盈定期开放混合C,保守混合型基金（封闭式）,2016/8/1,2018/6/19,,0.9553,0.9553,0P0001883A
0P00018853,161834,银华鑫锐定增灵活配置混合,灵活配置型基金（封闭式）,2016/8/1,2018/6/19,,0.819,0.819,0P00018853
0P0001888K,2805,浙商汇金聚利一年定期开放债券A,普通债券型基金（封闭式）,2016/8/1,2018/6/19,,,,0P0001888K
0P0001888L,2806,浙商汇金聚利一年定期开放债券C,普通债券型基金（封闭式）,2016/8/1,2018/6/19,,,,0P0001888L
0P000188JY,519324,浦银安盛盛鑫定期开放债券A,普通债券型基金（封闭式）,2016/7/11,2018/6/19,,,,0P000188JY
0P000188JZ,519325,浦银安盛盛鑫定期开放债券C,普通债券型基金（封闭式）,2016/7/11,2018/6/19,,,,0P000188JZ
0P00018APQ,2970,博时裕昂纯债债券,纯债基金,2016/7/15,2018/6/19,,0.998,0.998,0P00018APQ
0P00018APZ,2948,华安聚利18个月定期开放债券A,纯债基金（封闭式）,2016/8/9,2018/6/19,,,,0P00018APZ
0P00018AQ0,2949,华安聚利18个月定期开放债券C,纯债基金（封闭式）,2016/8/9,2018/6/19,,,,0P00018AQ0
0P00018AZ7,2985,中银季季红定期开放债券,普通债券型基金（封闭式）,2016/7/15,2018/6/19,,,,0P00018AZ7
0P00018B3N,168103,九泰锐益定增灵活配置混合,灵活配置型基金（封闭式）,2016/8/11,2018/6/19,,0.936,0.936,0P00018B3N
0P00018BEL,512810,华宝兴业中证军工ETF,股票型基金,2016/8/5,2018/6/19,,0.6209,0.6209,0P00018BEL
0P00018BO7,160921,大成定增灵活配置混合,灵活配置型基金（封闭式）,2016/8/19,2018/6/19,,0.91,0.91,0P00018BO7
0P00018D2M,2929,博时聚盈纯债债券,纯债基金,2016/7/27,2018/6/19,,1.0502,1.0502,0P00018D2M
0P00018D7R,2858,长信富平纯债一年定期开放债券A,纯债基金（封闭式）,2016/8/15,2018/6/19,,,,0P00018D7R
0P00018D7S,2859,长信富平纯债一年定期开放债券C,纯债基金（封闭式）,2016/8/15,2018/6/19,,,,0P00018D7S
0P00018DMH,2924,华商瑞鑫定期开放债券,激进债券型基金（封闭式）,2016/8/24,2018/6/19,,,,0P00018DMH
0P00018DMT,2877,华夏大中华信用精选债券（QDII）A人民币,环球债券,2016/7/27,2018/6/19,,,,0P00018DMT
0P00018DN0,2878,华夏大中华信用精选债券（QDII）A美元现汇,环球债券,2016/7/27,2018/6/19,,,,0P00018DN0
0P00018DN1,2879,华夏大中华信用精选债券（QDII）A美元现钞,环球债券,2016/7/27,2018/6/19,,,,0P00018DN1
0P00018DN2,2880,华夏大中华信用精选债券（QDII）C人民币,环球债券,2016/7/27,2018/6/19,,,,0P00018DN2
